taxon,n.taxa
Soroseris,7
Syncalathium,5
Dubyaea,12
Cicerbita,7
Chondrilla,10
Crepis,18
Hypochaeris,6
Picris,7
Paraprenanthes,12
Lactuca,12
Parasyncalathium,1
Melanoseris,25
Hieracium,6
Distephanus,2
Vernonia,40
Ethulia,2
Camchaya,1
Ainsliaea,50
Pertya,19
Myripnois,1
Nouelia,1
Phagnalon,1
Adenocaulon,1
Gerbera,9
Pentaphragma,2
Lobelia,30
Platycodon,1
Cyananthus,24
Codonopsis,53
Campanumoea,4
Echinocodon,1
Cyclocodon,3
Campanula,28
Peracarpa,1
Asyneuma,3
Triodanis,3
Adenophora,63
Homocodon,2
Wahlenbergia,2
Polyosma,1
Eucommia,1
Aucuba,22
Apodytes,1
Nothapodytes,6
Mappianthus,1
Natsiatum,1
Pyrenacantha,1
Natsiatopsis,1
Hosiea,1
Iodes,4
Pittosporopsis,1
Cuscuta,15
Merremia,31
Operculina,1
Convolvulus,8
Calystegia,9
Hewittia,1
Ipomoea,33
Argyreia,28
Stictocardia,1
Lepistemon,4
Dichondra,1
Neuropeltis,1
Evolvulus,5
Jacquemontia,3
Erycibe,10
Dinetus,6
Tridynamia,4
Poranopsis,3
Physochlaina,6
Przewalskia,1
Atropanthe,1
Hyoscyamus,2
Anisodus,6
Lycium,12
Lycianthes,15
Physaliastrum,7
Physalis,8
Tubocapsicum,1
Withania,2
Solanum,43
Mandragora,1
Hydrolea,1
Sphenoclea,1
Myxopyrum,2
Jasminum,51
Forsythia,6
Syringa,30
Ligustrum,43
Fraxinus,24
Olea,15
Osmanthus,28
Chionanthus,9
Carlemannia,2
Silvianthus,2
Titanotrichum,1
Rhynchoglossum,2
Whytockia,12
Epithema,2
Corallodiscus,3
Platystemma,1
Beccarinda,5
Rhynchotechum,9
Boeica,7
Chirita,132
Allostigma,1
Pseudochirita,2
Briggsiopsis,1
Loxostigma,7
Didissandra,5
Metabriggsia,2
Dayaoshania,1
Conandron,1
Didymostigma,3
Briggsia,28
Ancylostemon,18
Isometrum,18
Tremacron,8
Paraisometrum,1
Thamnocharis,1
Oreocharis,39
Bournea,2
Allocheilos,2
Didymocarpus,36
Deinocheilos,2
Primulina,20
Wentsaiboea,3
Chiritopsis,18
Lagarosolen,4
Tengia,3
Dolicholoma,1
Calcareoboea,1
Petrocodon,5
Rhabdothamnopsis,1
Paraboea,24
Boea,3
Hemiboea,36
Lysionotus,35
Cyrtandra,1
Anna,3
Petrocosmea,36
Opithandra,10
Ornithoboea,5
Aeschynanthus,38
Ellisiophyllum,1
Linaria,12
Callitriche,13
Plantago,27
Veronicastrum,25
Lagotis,20
Veronica,64
Pseudolysimachion,14
Hemiphragma,4
Bacopa,3
Gratiola,3
Adenosma,4
Dopatrium,1
Trapella,1
Limnophila,10
Lancea,2
Mazus,31
Mimulus,9
Microcarpaea,1
Phryma,1
Paulownia,9
Triaenophora,3
Rehmannia,6
Lindenbergia,3
Siphonostegia,2
Monochasma,2
Cymbaria,2
Aeginetia,3
Centranthera,6
Sopubia,4
Striga,4
Buchnera,1
Alectra,1
Mannagettaea,2
Orobanche,31
Boschniakia,3
Cistanche,5
Castilleja,1
Pedicularis,632
Brandisia,12
Pterygiella,5
Phtheirospermum,2
Melampyrum,7
Lathraea,1
Rhinanthus,1
Odontites,1
Euphrasia,19
Omphalotrix,1
Callicarpa,71
Holocheila,1
Achyrospermum,2
