"","Tip","brLegth"
"568","Clinopodium_1686",3.494879
"569","Micromeria_1687",7.762724
"570","Mosla_1691",5.502806
"571","Mosla_1693",23.12855
"572","Lindernia_1694",2.474495
"573","Torenia_1695",2.474495
"574","Torenia_1696",8.805457
"575","Lindernia_1698",23.198104
"576","Scrophularia_1701",6.724011
"577","Scrophularia_1702",3.253644
"578","Scrophularia_1704",2.611513
"579","Scrophularia_1705",3.326244
"580","Ophiorrhiza_1708",1.286639
"581","Ophiorrhiza_1710",0.6464
"582","Hedyotis_1718",22.039817
"583","Richardia_1720",4.661625
"584","Richardia_1721",4.661625
"585","Hedyotis_1723",10.871208
"586","Mycetia_1729",3.960365
"587","Mycetia_1730",7.388742
"588","Galium_1734",5.199677
"589","Galium_1735",17.250863
"590","Galium_1736",16.984035
"591","Galium_1737",2.111686
"592","Asperula_1738",16.519922
"593","Asperula_1739",19.478807
"594","Nauclea_1749",7.257134
"595","Neonauclea_1751",1.656005
"596","Nauclea_1753",5.364873
"597","Neonauclea_1754",1.875338
"598","Wendlandia_1770",6.991693
"599","Wendlandia_1771",0.961917
"600","Wendlandia_1772",1.018899
"601","Aidia_1776",9.504226
"602","Aidia_1778",7.249479
"603","Tarenna_1786",10.129355
"604","Tarenna_1788",4.820863
"605","Gentianella_1800",4.080109
"606","Swertia_1801",4.977284
"607","Swertia_1803",12.656786
"608","Gentianella_1804",13.726284
"609","Lomatogonium_1806",13.79146
"610","Swertia_1807",4.995033
"611","Lomatogonium_1808",10.895672
"612","Swertia_1809",15.74307
"613","Swertia_1811",10.610876
"614","Swertia_1813",20.250897
"615","Tabernaemontana_1823",7.971057
"616","Tabernaemontana_1824",7.971057
"617","Anodendron_1830",20.906718
"618","Ichnocarpus_1838",10.275396
"619","Ichnocarpus_1841",3.016115
"620","Toxocarpus_1848",21.992006
"621","Toxocarpus_1849",10.490442
"622","Dregea_1852",10.903807
"623","Dregea_1854",10.821569
"624","Marsdenia_1857",10.058289
"625","Hoya_1858",1.426951
"626","Hoya_1860",3.061056
"627","Hoya_1862",3.17393
"628","Cynanchum_1863",11.583407
"629","Cynanchum_1869",0.149833
"630","Tylophora_1874",5.139913
"631","Tylophora_1875",4.521217
"632","Tylophora_1876",4.033311
"633","Tylophora_1877",3.459629
"634","Cynanchum_1879",5.588875
"635","Marsdenia_1883",20.45336
"636","Anodendron_1884",15.408901
"637","Cryptolepis_1887",11.064986
"638","Cryptolepis_1889",5.929635
"639","Cynoglossum_1907",3.586378
"640","Cynoglossum_1908",1.435974
"641","Eritrichium_1915",10.410436
"642","Eritrichium_1917",2.887526
"643","Arnebia_1926",13.005705
"644","Arnebia_1928",5.061665
"645","Heliotropium_1933",9.954086
"646","Heliotropium_1934",15.54527
"647","Saurauia_1936",83.5
"648","Saurauia_1937",33.215067
"649","Vaccinium_1947",27.30063
"650","Vaccinium_1948",26.146025
"651","Vaccinium_1949",1.841397
"652","Vaccinium_1951",2.556601
"653","Vaccinium_1952",23.02594
"654","Vaccinium_1953",3.083189
"655","Rhododendron_1959",12.390509
"656","Rhododendron_1960",6.900077
"657","Rhododendron_1962",4.612752
"658","Rhododendron_1963",2.891084
"659","Rhododendron_1964",1.501759
"660","Embelia_1973",19.100183
"661","Embelia_1976",20.140835
"662","Lysimachia_1978",10.873892
"663","Lysimachia_1979",9.414707
"664","Lysimachia_1980",12.743203
"665","Lysimachia_1981",14.606339
"666","Primula_1982",2.418724
"667","Primula_1983",16.296339
"668","Primula_1984",0.905486
"669","Primula_1985",26.760626
"670","Primula_1986",1.34866
"671","Omphalogramma_1987",5.904295
"672","Omphalogramma_1989",5.974716
"673","Androsace_1990",16.786335
"674","Androsace_1991",11.21689
"675","Adinandra_1999",4.026255
"676","Adinandra_2000",8.329235
"677","Ternstroemia_2001",3.346213
"678","Ternstroemia_2003",6.959476
"679","Polyspora_2019",0.136327
"680","Polyspora_2021",4.583961
"681","Camellia_2022",0.574646
"682","Camellia_2024",5.076468
"683","Diploknema_2029",1.763449
"684","Pouteria_2030",7.163603
"685","Pouteria_2031",7.148917
"686","Diploknema_2033",0.122791
"687","Madhuca_2034",0.122791
"688","Madhuca_2036",6.745171
"689","Myricaria_2045",23.563762
"690","Myricaria_2047",37.723347
"691","Acantholimon_2050",15.876066
"692","Goniolimon_2052",7.79559
"693","Goniolimon_2053",22.317542
"694","Acantholimon_2054",29.253068
"695","Polygonum_2058",44.361862
"696","Rumex_2061",35.207011
"697","Rumex_2062",18.780018
"698","Polygonum_2063",13.952331
"699","Polygonum_2067",3.088736
"700","Fagopyrum_2069",11.408276
"701","Fagopyrum_2071",23.832951
"702","Polygonum_2072",40.167852
"703","Polygonum_2073",32.069535
"704","Polygonum_2075",11.847848
"705","Polygonum_2076",14.591637
"706","Polygonum_2077",29.031484
"707","Pisonia_2080",8.819739
"708","Pisonia_2081",8.819739
"709","Boerhavia_2082",15.187787
"710","Boerhavia_2084",15.012062
"711","Mollugo_2087",78.456538
"712","Mollugo_2088",49.156972
"713","Deeringia_2096",40.781524
"714","Deeringia_2097",40.781524
"715","Chenopodium_2101",27.299094
"716","Chenopodium_2102",30.051262
"717","Bassia_2114",10.957942
"718","Bassia_2116",11.05311
"719","Salsola_2119",16.83516
"720","Salsola_2127",9.513243
"721","Salsola_2132",35.780788
"722","Herniaria_2133",76.08826
"723","Herniaria_2135",78.224103
"724","Drymaria_2137",36.079824
"725","Drymaria_2139",43.760802
"726","Arenaria_2141",1.54762
"727","Stellaria_2142",3.267437
"728","Stellaria_2143",8.107802
"729","Arenaria_2153",61.299627
"730","Silene_2156",29.365623
"731","Silene_2157",30.268626
"732","Silene_2158",7.34724
"733","Sagina_2164",13.488956
"734","Sagina_2165",19.234647
"735","Helixanthera_2175",24.434048
"736","Helixanthera_2176",30.88652
"737","Liquidambar_2208",5.913064
"738","Altingia_2209",5.913064
"739","Altingia_2210",4.136495
"740","Liquidambar_2211",4.136495
"741","Saxifraga_2216",15.671519
"742","Saxifraga_2217",25.35488
"743","Mitella_2222",2.477796
"744","Mitella_2223",11.072294
"745","Kalanchoe_2232",12.831396
"746","Kalanchoe_2233",12.831396
"747","Sedum_2239",49.43976
"748","Sedum_2240",25.690972
"749","Sedum_2243",32.289679
"750","Sedum_2244",39.922803
"751","Sedum_2245",11.046575
"752","Polygala_2249",26.968285
"753","Polygala_2250",46.523761
"754","Smithia_2264",43.19096
"755","Vicia_2274",0.362505
"756","Vicia_2275",24.19607
"757","Vicia_2276",25.216341
"758","Hedysarum_2279",22.852323
"759","Hedysarum_2282",1.238567
"760","Caragana_2283",9.124847
"761","Caragana_2286",3.155285
"762","Millettia_2303",45.590235
"763","Millettia_2308",22.908578
"764","Desmodium_2320",7.581097
"765","Desmodium_2323",3.430685
"766","Spatholobus_2328",10.413333
"767","Spatholobus_2330",14.168161
"768","Rhynchosia_2332",19.901759
"769","Rhynchosia_2334",16.658022
"770","Pueraria_2339",22.850001
"771","Pueraria_2344",30.336338
"772","Dysolobium_2346",28.713937
"773","Dysolobium_2348",31.41086
"774","Caesalpinia_2365",50.788747
"775","Parkia_2368",24.082326
"776","Albizia_2369",18.83658
"777","Calliandra_2370",18.83658
"778","Parkia_2371",21.785518
"779","Smithia_2372",11.138681
"780","Acacia_2373",11.138681
"781","Acacia_2375",8.222961
"782","Albizia_2376",9.095922
"783","Calliandra_2377",21.194644
"784","Caesalpinia_2380",12.984043
"785","Caesalpinia_2382",18.693439
"786","Photinia_2392",1.513358
"787","Sorbus_2393",0.242775
"788","Photinia_2399",3.48979
"789","Sorbus_2404",6.042222
"790","Padus_2407",9.706734
"791","Padus_2410",6.212991
"792","Prunus_2412",5.976411
"793","Amygdalus_2413",5.976411
"794","Amygdalus_2414",6.76771
"795","Prunus_2415",6.76771
"796","Armeniaca_2417",9.595359
"797","Armeniaca_2418",10.832095
"798","Potentilla_2426",2.705942
"799","Sibbaldia_2429",0.684075
"800","Sibbaldia_2430",0.754784
"801","Potentilla_2433",33.740129
"802","Potentilla_2434",5.982869
"803","Duchesnea_2435",3.922268
"804","Potentilla_2436",3.429979
"805","Duchesnea_2437",8.533805
"806","Potentilla_2438",8.085162
"807","Potentilla_2439",20.360639
"808","Sanguisorba_2441",18.110636
"809","Sanguisorba_2442",9.383006
"810","Ziziphus_2451",43.085004
"811","Ziziphus_2459",34.004451
"812","Hovenia_2460",11.416736
"813","Hovenia_2464",41.706384
"814","Ulmus_2468",4.76708
"815","Ulmus_2469",7.934724
"816","Boehmeria_2485",0.245268
"817","Boehmeria_2486",24.663732
"818","Boehmeria_2487",4.556547
"819","Laportea_2496",45.017427
"820","Laportea_2500",43.00013
"821","Cucumis_2525",9.255991
"822","Cucumis_2527",10.62371
"823","Maytenus_2566",3.563174
