"","Tip","brLegth"
"568","Clinopodium1686_",3.494879
"569","Micromeria1687_",7.762724
"570","Mosla1691_",5.502806
"571","Mosla1693_",23.12855
"572","Lindernia1694_",2.474495
"573","Torenia1695_",2.474495
"574","Torenia1696_",8.805457
"575","Lindernia1698_",23.198104
"576","Scrophularia1701_",6.724011
"577","Scrophularia1702_",3.253644
"578","Scrophularia1704_",2.611513
"579","Scrophularia1705_",3.326244
"580","Ophiorrhiza1708_",1.286639
"581","Ophiorrhiza1710_",0.6464
"582","Hedyotis1718_",22.039817
"583","Richardia1720_",4.661625
"584","Richardia1721_",4.661625
"585","Hedyotis1723_",10.871208
"586","Mycetia1729_",3.960365
"587","Mycetia1730_",7.388742
"588","Galium1734_",5.199677
"589","Galium1735_",17.250863
"590","Galium1736_",16.984035
"591","Galium1737_",2.111686
"592","Asperula1738_",16.519922
"593","Asperula1739_",19.478807
"594","Nauclea1749_",7.257134
"595","Neonauclea1751_",1.656005
"596","Nauclea1753_",5.364873
"597","Neonauclea1754_",1.875338
"598","Wendlandia1770_",6.991693
"599","Wendlandia1771_",0.961917
"600","Wendlandia1772_",1.018899
"601","Aidia1776_",9.504226
"602","Aidia1778_",7.249479
"603","Tarenna1786_",10.129355
"604","Tarenna1788_",4.820863
"605","Gentianella1800_",4.080109
"606","Swertia1801_",4.977284
"607","Swertia1803_",12.656786
"608","Gentianella1804_",13.726284
"609","Lomatogonium1806_",13.79146
"610","Swertia1807_",4.995033
"611","Lomatogonium1808_",10.895672
"612","Swertia1809_",15.74307
"613","Swertia1811_",10.610876
"614","Swertia1813_",20.250897
"615","Tabernaemontana1823_",7.971057
"616","Tabernaemontana1824_",7.971057
"617","Anodendron1830_",20.906718
"618","Ichnocarpus1838_",10.275396
"619","Ichnocarpus1841_",3.016115
"620","Toxocarpus1848_",21.992006
"621","Toxocarpus1849_",10.490442
"622","Dregea1852_",10.903807
"623","Dregea1854_",10.821569
"624","Marsdenia1857_",10.058289
"625","Hoya1858_",1.426951
"626","Hoya1860_",3.061056
"627","Hoya1862_",3.17393
"628","Cynanchum1863_",11.583407
"629","Cynanchum1869_",0.149833
"630","Tylophora1874_",5.139913
"631","Tylophora1875_",4.521217
"632","Tylophora1876_",4.033311
"633","Tylophora1877_",3.459629
"634","Cynanchum1879_",5.588875
"635","Marsdenia1883_",20.45336
"636","Anodendron1884_",15.408901
"637","Cryptolepis1887_",11.064986
"638","Cryptolepis1889_",5.929635
"639","Cynoglossum1907_",3.586378
"640","Cynoglossum1908_",1.435974
"641","Eritrichium1915_",10.410436
"642","Eritrichium1917_",2.887526
"643","Arnebia1926_",13.005705
"644","Arnebia1928_",5.061665
"645","Heliotropium1933_",9.954086
"646","Heliotropium1934_",15.54527
"647","Saurauia1936_",83.5
"648","Saurauia1937_",33.215067
"649","Vaccinium1947_",27.30063
"650","Vaccinium1948_",26.146025
"651","Vaccinium1949_",1.841397
"652","Vaccinium1951_",2.556601
"653","Vaccinium1952_",23.02594
"654","Vaccinium1953_",3.083189
"655","Rhododendron1959_",12.390509
"656","Rhododendron1960_",6.900077
"657","Rhododendron1962_",4.612752
"658","Rhododendron1963_",2.891084
"659","Rhododendron1964_",1.501759
"660","Embelia1973_",19.100183
"661","Embelia1976_",20.140835
"662","Lysimachia1978_",10.873892
"663","Lysimachia1979_",9.414707
"664","Lysimachia1980_",12.743203
"665","Lysimachia1981_",14.606339
"666","Primula1982_",2.418724
"667","Primula1983_",16.296339
"668","Primula1984_",0.905486
"669","Primula1985_",26.760626
"670","Primula1986_",1.34866
"671","Omphalogramma1987_",5.904295
"672","Omphalogramma1989_",5.974716
"673","Androsace1990_",16.786335
"674","Androsace1991_",11.21689
"675","Adinandra1999_",4.026255
"676","Adinandra2000_",8.329235
"677","Ternstroemia2001_",3.346213
"678","Ternstroemia2003_",6.959476
"679","Polyspora2019_",0.136327
"680","Polyspora2021_",4.583961
"681","Camellia2022_",0.574646
"682","Camellia2024_",5.076468
"683","Diploknema2029_",1.763449
"684","Pouteria2030_",7.163603
"685","Pouteria2031_",7.148917
"686","Diploknema2033_",0.122791
"687","Madhuca2034_",0.122791
"688","Madhuca2036_",6.745171
"689","Myricaria2045_",23.563762
"690","Myricaria2047_",37.723347
"691","Acantholimon2050_",15.876066
"692","Goniolimon2052_",7.79559
"693","Goniolimon2053_",22.317542
"694","Acantholimon2054_",29.253068
"695","Polygonum2058_",44.361862
"696","Rumex2061_",35.207011
"697","Rumex2062_",18.780018
"698","Polygonum2063_",13.952331
"699","Polygonum2067_",3.088736
"700","Fagopyrum2069_",11.408276
"701","Fagopyrum2071_",23.832951
"702","Polygonum2072_",40.167852
"703","Polygonum2073_",32.069535
"704","Polygonum2075_",11.847848
"705","Polygonum2076_",14.591637
"706","Polygonum2077_",29.031484
"707","Pisonia2080_",8.819739
"708","Pisonia2081_",8.819739
"709","Boerhavia2082_",15.187787
"710","Boerhavia2084_",15.012062
"711","Mollugo2087_",78.456538
"712","Mollugo2088_",49.156972
"713","Deeringia2096_",40.781524
"714","Deeringia2097_",40.781524
"715","Chenopodium2101_",27.299094
"716","Chenopodium2102_",30.051262
"717","Bassia2114_",10.957942
"718","Bassia2116_",11.05311
"719","Salsola2119_",16.83516
"720","Salsola2127_",9.513243
"721","Salsola2132_",35.780788
"722","Herniaria2133_",76.08826
"723","Herniaria2135_",78.224103
"724","Drymaria2137_",36.079824
"725","Drymaria2139_",43.760802
"726","Arenaria2141_",1.54762
"727","Stellaria2142_",3.267437
"728","Stellaria2143_",8.107802
"729","Arenaria2153_",61.299627
"730","Silene2156_",29.365623
"731","Silene2157_",30.268626
"732","Silene2158_",7.34724
"733","Sagina2164_",13.488956
"734","Sagina2165_",19.234647
"735","Helixanthera2175_",24.434048
"736","Helixanthera2176_",30.88652
"737","Liquidambar2208_",5.913064
"738","Altingia2209_",5.913064
"739","Altingia2210_",4.136495
"740","Liquidambar2211_",4.136495
"741","Saxifraga2216_",15.671519
"742","Saxifraga2217_",25.35488
"743","Mitella2222_",2.477796
"744","Mitella2223_",11.072294
"745","Kalanchoe2232_",12.831396
"746","Kalanchoe2233_",12.831396
"747","Sedum2239_",49.43976
"748","Sedum2240_",25.690972
"749","Sedum2243_",32.289679
"750","Sedum2244_",39.922803
"751","Sedum2245_",11.046575
"752","Polygala2249_",26.968285
"753","Polygala2250_",46.523761
"754","Smithia2264_",43.19096
"755","Vicia2274_",0.362505
"756","Vicia2275_",24.19607
"757","Vicia2276_",25.216341
"758","Hedysarum2279_",22.852323
"759","Hedysarum2282_",1.238567
"760","Caragana2283_",9.124847
"761","Caragana2286_",3.155285
"762","Millettia2303_",45.590235
"763","Millettia2308_",22.908578
"764","Desmodium2320_",7.581097
"765","Desmodium2323_",3.430685
"766","Spatholobus2328_",10.413333
"767","Spatholobus2330_",14.168161
"768","Rhynchosia2332_",19.901759
"769","Rhynchosia2334_",16.658022
"770","Pueraria2339_",22.850001
"771","Pueraria2344_",30.336338
"772","Dysolobium2346_",28.713937
"773","Dysolobium2348_",31.41086
"774","Caesalpinia2365_",50.788747
"775","Parkia2368_",24.082326
"776","Albizia2369_",18.83658
"777","Calliandra2370_",18.83658
"778","Parkia2371_",21.785518
"779","Smithia2372_",11.138681
"780","Acacia2373_",11.138681
"781","Acacia2375_",8.222961
"782","Albizia2376_",9.095922
"783","Calliandra2377_",21.194644
"784","Caesalpinia2380_",12.984043
"785","Caesalpinia2382_",18.693439
"786","Photinia2392_",1.513358
"787","Sorbus2393_",0.242775
"788","Photinia2399_",3.48979
"789","Sorbus2404_",6.042222
"790","Padus2407_",9.706734
"791","Padus2410_",6.212991
"792","Prunus2412_",5.976411
"793","Amygdalus2413_",5.976411
"794","Amygdalus2414_",6.76771
"795","Prunus2415_",6.76771
"796","Armeniaca2417_",9.595359
"797","Armeniaca2418_",10.832095
"798","Potentilla2426_",2.705942
"799","Sibbaldia2429_",0.684075
"800","Sibbaldia2430_",0.754784
"801","Potentilla2433_",33.740129
"802","Potentilla2434_",5.982869
"803","Duchesnea2435_",3.922268
"804","Potentilla2436_",3.429979
"805","Duchesnea2437_",8.533805
"806","Potentilla2438_",8.085162
"807","Potentilla2439_",20.360639
"808","Sanguisorba2441_",18.110636
"809","Sanguisorba2442_",9.383006
"810","Ziziphus2451_",43.085004
"811","Ziziphus2459_",34.004451
"812","Hovenia2460_",11.416736
"813","Hovenia2464_",41.706384
"814","Ulmus2468_",4.76708
"815","Ulmus2469_",7.934724
"816","Boehmeria2485_",0.245268
"817","Boehmeria2486_",24.663732
"818","Boehmeria2487_",4.556547
"819","Laportea2496_",45.017427
"820","Laportea2500_",43.00013
"821","Cucumis2525_",9.255991
"822","Cucumis2527_",10.62371
"823","Maytenus2566_",3.563174
